Stock,YesterdayClose,Open,Bid,Offer,Price,percentChange,Low,High,52Low,52High,BandLow,BandHigh,BuyQuantity,Selld Quantity
reliancecapital,"84.40","84.00","74.15 (850)","74.65 (582)","76.55",,"73.30","84.00","73.30",,"71.75","92.80","10.64 K","43.69 K"
reliancecapital,"84.45","84.00","0.00 (0)","75.70 (263229)","75.70",,"73.50","84.00","73.50",,"71.80","92.85"
syngeneinternational,"352.95","353.00","321.00 (98)","326.55 (160)","326.55",,,"368.10",,"368.10","282.40","423.50","3565","4527"
syngeneinternational,"352.05","353.00","0.00 (0)","325.25 (6064)","325.25",,,"369.00",,"369.00","281.65","422.45"
dishtvindia,"30.40","30.85","28.40 (9,026)","28.50 (749)","28.60",,,"30.85",,,"27.40","33.40","10.13 K","2.28 L"
dishtvindia,"30.45","30.55","0.00 (0)","28.65 (11654)","28.65",,,"30.85",,,"27.45","33.45"
relianceinfrastructure,"62.75","62.50","59.30 (100)","59.30 (100)","59.30",,"57.90","64.00","57.90",,"56.50","69.00","6374","35.89 K"
relianceinfrastructure,,,,,,,,,,,,
pcjeweller,"61.65","62.10","56.25 (5,433)","57.40 (4,389)","57.40",,,"66.40",,,"55.50","67.80","18.5 K","97.27 K"
pcjeweller,"61.85","63.00","0.00 (0)","58.60 (184046)","58.60",,,"66.45",,,"55.70","68.00"
gruhfinance,"308.50","293.00","291.85 (15)","291.85 (85)","291.85",,,"293.35",,,"246.80","370.20","1.05 L","1.2 L"
gruhfinance,,,,,,,,,,,,
zeeentertainmententerprises,"352.35","352.20","335.00 (1)","336.80 (46)","336.80",,,"352.50",,,"317.15","387.55","4874","21.93 K"
zeeentertainmententerprises,"352.60","350.70","0.00 (0)","336.50 (4530)","336.50",,,"353.45",,,"317.35","387.85"
dewanhousingfinancecorporation,"84.25","83.75","80.45 (163)","80.45 (187)","80.45",,"76.55","83.75","76.55",,"75.85","92.65","31.75 K","37.06 K"
dewanhousingfinancecorporation,"84.35","83.55","0.00 (0)","80.75 (9887)","80.75",,"76.65","83.90","76.65",,"75.95","92.75"
indusindbank,"1490.05","1491.35","1425.10 (146)","1425.10 (54)","1425.10",,,"1495.10",,,"1,341.05","1,639.05","3658","2213"
indusindbank,"1488.85","1493.00","0.00 (0)","1426.80 (6939)","1426.80",,,"1495.00",,,"1,340.00","1,637.70"
bharatfinancialinclusion,"939.15","969.90","899.60 (1)","899.60 (60)","899.60",,,"969.90",,,"845.25","1,033.05","228","214"
bharatfinancialinclusion,"940.40","940.00","0.00 (0)","901.70 (310)","901.70",,,"945.10",,,"846.40","1,034.40"
dlf,,,,,,,,,,,,,,
dlf,,,,,,,,,,,,
escorts,"580.10","581.00","557.00 (199)","560.30 (21)","560.45",,,"581.00",,,"522.10","638.10","4621","2914"
escorts,"580.45","582.00","0.00 (0)","559.40 (3926)","559.40",,,"582.85",,,"522.45","638.45"
biocon,"256.40","259.00","248.00 (234)","248.30 (885)","248.90",,"248.00","259.00","248.00",,"230.80","282.00","22.34 K","7491"
biocon,"257.00","257.30","0.00 (0)","248.30 (6588)","248.30",,"247.00","258.55","247.00",,"231.30","282.70"
indiabullshousingfinance,"694.30","709.90","662.50 (25)","662.75 (475)","672.10",,,"709.90",,,"624.90","763.70","4995","30.05 K"
indiabullshousingfinance,"694.30","707.00","0.00 (0)","672.25 (48767)","672.25",,,"708.70",,,"624.90","763.70"
aurobindopharma,"636.65","638.00","616.30 (17)","616.30 (13)","616.30",,,"638.00",,,"573.00","700.30","5069","3566"
aurobindopharma,"637.10","637.00","0.00 (0)","616.90 (1689)","616.90",,,"637.00",,,"573.40","700.80"
vodafoneidealimited,"12.90","12.90","12.36 (25,000)","12.39 (4,999)","12.51",,,"12.90",,,"11.61","14.19","1.78 L","2.37 L"
vodafoneidealimited,"12.90","12.85","0.00 (0)","12.50 (251499)","12.50",,,"12.90",,,"11.65","14.15"
gujaratstatepetronet,"186.85","186.35","178.10 (200)","180.20 (252)","180.20",,,"186.35",,,"149.50","224.20","10.07 K","4680"
gujaratstatepetronet,"185.75","185.75","0.00 (0)","180.05 (16600)","180.05",,,"186.45",,,"148.60","222.90"
tatamotorsltd-dvr,"82.80","82.00","80.50 (30)","80.50 (394)","80.50",,,"82.40",,,"74.55","91.05","10.18 K","6308"
tatamotorsltd-dvr,"83.05","81.60","0.00 (0)","80.60 (8092)","80.60",,,"82.50",,,"74.75","91.35"
torrentpower,"251.60","247.05","245.00 (500)","246.95 (550)","246.95",,,"251.55",,,"226.45","276.75","4601","3915"
torrentpower,"252.65","250.50","245.30 (1148)","0.00 (0)","245.30",,,"251.60",,,"227.40","277.90"
bhartiairtel,"363.25","364.90","351.00 (100)","353.30 (179)","353.30",,,"364.90",,,"326.95","399.55","2295","5455"
bhartiairtel,"363.75","362.55","0.00 (0)","353.30 (1765)","353.30",,,"362.95",,,"327.40","400.10"
ambujacements,"220.90","220.10","212.00 (77)","214.35 (194)","214.35",,,"220.75",,,"198.85","242.95","4790","12.63 K"
ambujacements,"220.45","220.00","0.00 (0)","214.20 (1625)","214.20",,,"220.80",,,"198.45","242.45"
sterlitetechnologies,"186.55","186.60","180.90 (400)","181.75 (1,592)","181.75",,,"187.30",,,"149.25","223.85","8813","18.28 K"
sterlitetechnologies,,,,,,,,,,,,
jswenergy,"70.70","70.05","68.20 (500)","69.10 (63)","69.10",,,"71.00",,,"56.60","84.80","24.21 K","17.52 K"
jswenergy,"70.70","70.70","0.00 (0)","68.80 (8795)","68.80",,,"71.00",,,"56.60","84.80"
tataglobalbeverage,"253.80","253.90","247.10 (130)","246.75 (164)","247.10",,,"254.80",,,"228.45","279.15","3097","7763"
tataglobalbeverage,"253.85","253.00","0.00 (0)","247.05 (4580)","247.05",,,"254.85",,,"228.50","279.20"
torrentpharmaceuticals,"1537.30","1532.50","1492.45 (3)","1492.45 (3)","1492.45",,,"1539.05",,,"1,383.60","1,691.00","1965","710"
torrentpharmaceuticals,,,,,,,,,,,,
unitedspirits,,,,,,,,,,,,,,
unitedspirits,"566.20","565.00","0.00 (0)","551.95 (2030)","551.95",,,"566.60",,,"509.60","622.80"
jindalsteelpower,,,,,,,,,,,,,,
jindalsteelpower,,,,,,,,,,,,
balkrishnaindustries,"779.70","779.50","759.35 (200)","762.00 (16)","763.50",,,"785.90",,,"701.75","857.65","2181","1237"
balkrishnaindustries,"781.80","782.90","0.00 (0)","762.90 (926)","762.90",,,"787.00",,,"703.65","859.95"
godrejconsumerproducts,"680.80","679.90","663.40 (11)","667.50 (10)","663.40",,,"679.90",,,"612.75","748.85","3703","1264"
godrejconsumerproducts,"679.60","678.00","663.15 (21)","0.00 (0)","663.15",,,"678.80",,,"611.65","747.55"
oberoirealty,"527.80","528.55","515.60 (60)","515.60 (80)","515.60",,,"529.65",,,"422.25","633.35","4129","925"
oberoirealty,"528.30","528.90","515.65 (370)","0.00 (0)","515.65",,,"529.00",,,"422.65","633.95"
axisbank,"819.70","820.00","800.00 (310)","800.15 (44)","800.15",,,"822.90",,,"737.75","901.65","68.03 K","15.25 K"
