Stock,YesterdayClose,Open,Bid,Offer,Price,percentChange,Low,High,52Low,52High,BandLow,BandHigh,BuyQuantity,Selld Quantity
cumminsindia,"745.30","748.75","762.55 (50)","762.00 (20)","762.55",,,"765.25",,,"670.80","819.80","2775","3633"
cumminsindia,"745.85","745.00","763.80 (288)","0.00 (0)","763.80",,,"767.00",,,"671.30","820.40"
piindustries,"1142.95","1142.90","1150.00 (1)","1169.00 (41)","1170.30",,,"1180.00",,"1180.00","914.40","1,371.50","3908","439"
piindustries,"1143.05","1140.20","0.00 (0)","1170.05 (2128)","1170.05",,,"1180.00",,"1180.00","914.45","1,371.65"
dilipbuildcon,"435.85","437.70","441.00 (11)","443.35 (10)","443.35",,,"460.60",,,"348.70","523.00","1709","887"
dilipbuildcon,"435.45","440.00","0.00 (0)","445.10 (1629)","445.10",,,"461.60",,,"348.40","522.50"
newindiaassurancecompany,"154.15","155.00","155.35 (1)","157.25 (3)","157.25",,,"159.00",,,"123.35","184.95","5869","1282"
newindiaassurancecompany,"154.15","157.90","0.00 (0)","157.50 (1080)","157.50",,,"159.00",,,"123.35","184.95"
avenuesupermarts,"1302.35","1305.05","1331.95 (196)","1331.95 (25)","1331.95",,,"1335.00",,,"1,041.90","1,562.80","5260","1802"
avenuesupermarts,"1305.00","1306.40","0.00 (0)","1330.60 (1377)","1330.60",,,"1334.20",,,"1,044.00","1,566.00"
rajeshexports,"670.10","674.95","677.10 (200)","680.00 (56)","681.90",,,"687.00",,,"536.10","804.10","1.04 L","212"
rajeshexports,"669.30","673.00","0.00 (0)","681.40 (1096)","681.40",,,"687.90",,,"535.45","803.15"
indianbank,"259.85","260.00","262.00 (3)","263.95 (229)","263.95",,,"267.15",,,"233.90","285.80","4321","1542"
indianbank,,,,,,,,,,,,
bhartiinfratel,"271.15","271.00","272.00 (1)","277.00 (1)","275.25",,,"276.15",,,"244.05","298.25","2162","525"
bhartiinfratel,"271.35","270.65","0.00 (0)","275.05 (264)","275.05",,,"276.00",,,"244.25","298.45"
manappuramfinance,"140.00","140.00","140.85 (2)","141.60 (1,675)","141.60",,,"143.80",,"143.80","126.00","154.00","1365","20.29 K"
